| Compressor name          | Compression | Decompress. | Compr. size |  Ratio | Filename             |
| misa77 0.2.0 -0          |   43.3 MB/s |   5157 MB/s |   435740823 |  43.57 | enwik/enwik9         |
| misa77 0.2.0 -1          |   45.6 MB/s |   4488 MB/s |   396301703 |  39.63 | enwik/enwik9         |
| misa77 0.2.0 adaptive -0 |   7.12 MB/s |   5651 MB/s |   435101949 |  43.51 | enwik/enwik9         |
| misa77 0.2.0 adaptive -1 |   7.42 MB/s |   5391 MB/s |   410937073 |  41.09 | enwik/enwik9         |
| lz4 1.10.0               |    302 MB/s |   2364 MB/s |   509196023 |  50.92 | enwik/enwik9         |
| lz4hc 1.10.0 -12         |   11.0 MB/s |   2261 MB/s |   371677964 |  37.17 | enwik/enwik9         |
| lzsse4fast 2019-04-18    |    155 MB/s |   2768 MB/s |   425830473 |  42.58 | enwik/enwik9         |
| lzsse8fast 2019-04-18    |    148 MB/s |   2730 MB/s |   427454959 |  42.75 | enwik/enwik9         |
| snappy 1.2.2             |    265 MB/s |    628 MB/s |   502356520 |  50.24 | enwik/enwik9         |
| zxc 0.12.0 -3            |   78.5 MB/s |   2626 MB/s |   460343773 |  46.03 | enwik/enwik9         |
| zxc 0.12.0 -4            |   59.5 MB/s |   2588 MB/s |   432673162 |  43.27 | enwik/enwik9         |
| zxc 0.12.0 -5            |   44.4 MB/s |   2653 MB/s |   417121975 |  41.71 | enwik/enwik9         |
| zstd 1.5.7 -1            |    251 MB/s |    887 MB/s |   356793535 |  35.68 | enwik/enwik9         |
| zstd 1.5.7 -3            |    147 MB/s |    854 MB/s |   311786472 |  31.18 | enwik/enwik9         |
| lizard 2.1 -10           |    263 MB/s |   2351 MB/s |   509675871 |  50.97 | enwik/enwik9         |
| misa77 0.2.0 -0          |   60.2 MB/s |   6254 MB/s |     3111560 |  34.23 | extra/sqlite3.c      |
| misa77 0.2.0 -1          |   61.3 MB/s |   5580 MB/s |     2907034 |  31.98 | extra/sqlite3.c      |
| misa77 0.2.0 adaptive -0 |   3.51 MB/s |   7129 MB/s |     3164196 |  34.81 | extra/sqlite3.c      |
| misa77 0.2.0 adaptive -1 |   3.63 MB/s |   6740 MB/s |     2967556 |  32.65 | extra/sqlite3.c      |
| lz4 1.10.0               |    272 MB/s |   2216 MB/s |     3798537 |  41.79 | extra/sqlite3.c      |
| lz4hc 1.10.0 -12         |   7.54 MB/s |   2352 MB/s |     2664839 |  29.32 | extra/sqlite3.c      |
| lzsse4fast 2019-04-18    |    175 MB/s |   3087 MB/s |     3389277 |  37.29 | extra/sqlite3.c      |
| lzsse8fast 2019-04-18    |    171 MB/s |   2986 MB/s |     3430627 |  37.74 | extra/sqlite3.c      |
| snappy 1.2.2             |    305 MB/s |    738 MB/s |     3780099 |  41.59 | extra/sqlite3.c      |
| zxc 0.12.0 -3            |   92.7 MB/s |   2512 MB/s |     3287617 |  36.17 | extra/sqlite3.c      |
| zxc 0.12.0 -4            |   70.8 MB/s |   2516 MB/s |     3235592 |  35.60 | extra/sqlite3.c      |
| zxc 0.12.0 -5            |   42.4 MB/s |   2513 MB/s |     3053812 |  33.60 | extra/sqlite3.c      |
| zstd 1.5.7 -1            |    226 MB/s |    916 MB/s |     2639533 |  29.04 | extra/sqlite3.c      |
| zstd 1.5.7 -3            |    171 MB/s |    903 MB/s |     2321149 |  25.54 | extra/sqlite3.c      |
| lizard 2.1 -10           |    252 MB/s |   2333 MB/s |     3824404 |  42.07 | extra/sqlite3.c      |
| misa77 0.2.0 -0          |   94.2 MB/s |   7603 MB/s |     2206777 |  24.14 | extra/typescript.js  |
| misa77 0.2.0 -1          |   93.1 MB/s |   7070 MB/s |     2104700 |  23.02 | extra/typescript.js  |
| misa77 0.2.0 adaptive -0 |   3.32 MB/s |   8560 MB/s |     2238910 |  24.49 | extra/typescript.js  |
| misa77 0.2.0 adaptive -1 |   3.38 MB/s |   8403 MB/s |     2160077 |  23.63 | extra/typescript.js  |
| lz4 1.10.0               |    353 MB/s |   2155 MB/s |     2696116 |  29.49 | extra/typescript.js  |
| lz4hc 1.10.0 -12         |   7.19 MB/s |   2343 MB/s |     1842492 |  20.16 | extra/typescript.js  |
| lzsse4fast 2019-04-18    |    233 MB/s |   3760 MB/s |     2400630 |  26.26 | extra/typescript.js  |
| lzsse8fast 2019-04-18    |    223 MB/s |   3484 MB/s |     2460576 |  26.92 | extra/typescript.js  |
| snappy 1.2.2             |    416 MB/s |   1064 MB/s |     2646967 |  28.96 | extra/typescript.js  |
| zxc 0.12.0 -3            |    136 MB/s |   2266 MB/s |     2369916 |  25.93 | extra/typescript.js  |
| zxc 0.12.0 -4            |    103 MB/s |   2253 MB/s |     2323488 |  25.42 | extra/typescript.js  |
| zxc 0.12.0 -5            |   54.1 MB/s |   2204 MB/s |     2153195 |  23.56 | extra/typescript.js  |
| zstd 1.5.7 -1            |    285 MB/s |   1032 MB/s |     1766196 |  19.32 | extra/typescript.js  |
