| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| lzsse4fast 2019-04-18 |    175 MB/s |   3107 MB/s |     3389277 |  37.29 | misc/sqlite3.c      |
| lzsse8fast 2019-04-18 |    170 MB/s |   2997 MB/s |     3430627 |  37.74 | misc/sqlite3.c      |
| snappy 1.2.2          |    305 MB/s |    737 MB/s |     3780099 |  41.59 | misc/sqlite3.c      |
| zxc 0.13.1 -3         |   92.9 MB/s |   2508 MB/s |     3287617 |  36.17 | misc/sqlite3.c      |
| zxc 0.13.1 -4         |   70.1 MB/s |   2509 MB/s |     3235592 |  35.60 | misc/sqlite3.c      |
| zxc 0.13.1 -5         |   42.0 MB/s |   2504 MB/s |     3053812 |  33.60 | misc/sqlite3.c      |
| zstd 1.5.7 -1         |    226 MB/s |    915 MB/s |     2639533 |  29.04 | misc/sqlite3.c      |
| lzav 5.11 -1          |    238 MB/s |   1524 MB/s |     2944261 |  32.39 | misc/sqlite3.c      |
| lz4 1.10.0            |    353 MB/s |   2157 MB/s |     2696116 |  29.49 | misc/typescript.js  |
| misa77 0.3.0 -0       |   93.8 MB/s |   7937 MB/s |     2206777 |  24.14 | misc/typescript.js  |
| misa77 0.3.0 -1       |   93.5 MB/s |   7415 MB/s |     2104700 |  23.02 | misc/typescript.js  |
| misa77 0.3.0 safe -0  |   93.9 MB/s |   7661 MB/s |     2206777 |  24.14 | misc/typescript.js  |
| misa77 0.3.0 safe -1  |   93.5 MB/s |   7148 MB/s |     2104700 |  23.02 | misc/typescript.js  |
| lz4hc 1.10.0 -12      |   7.17 MB/s |   2343 MB/s |     1842492 |  20.16 | misc/typescript.js  |
| lzsse4fast 2019-04-18 |    232 MB/s |   3787 MB/s |     2400630 |  26.26 | misc/typescript.js  |
| lzsse8fast 2019-04-18 |    223 MB/s |   3496 MB/s |     2460576 |  26.92 | misc/typescript.js  |
| snappy 1.2.2          |    415 MB/s |   1064 MB/s |     2646967 |  28.96 | misc/typescript.js  |
| zxc 0.13.1 -3         |    136 MB/s |   2251 MB/s |     2369916 |  25.93 | misc/typescript.js  |
| zxc 0.13.1 -4         |    102 MB/s |   2240 MB/s |     2323488 |  25.42 | misc/typescript.js  |
| zxc 0.13.1 -5         |   53.4 MB/s |   2192 MB/s |     2153195 |  23.56 | misc/typescript.js  |
| zstd 1.5.7 -1         |    285 MB/s |   1033 MB/s |     1766196 |  19.32 | misc/typescript.js  |
| lzav 5.11 -1          |    332 MB/s |   1950 MB/s |     2067389 |  22.62 | misc/typescript.js  |
