| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| zstd 1.5.7 -1         |   1146 MB/s |   2796 MB/s |      693317 |  12.97 | silesia/xml     |
| lzav 5.16 -1          |   1392 MB/s |   7879 MB/s |      888586 |  16.62 | silesia/xml     |
| lzav 5.16 -2          |    384 MB/s |   9344 MB/s |      712189 |  13.32 | silesia/xml     |
| lz4 1.10.0            |    921 MB/s |   5487 MB/s |     7716839 |  35.72 | silesia/samba   |
| misa77 0.6.0 --1      |    570 MB/s |  13749 MB/s |     7829777 |  36.24 | silesia/samba   |
| misa77 0.6.0 -0       |    429 MB/s |  15691 MB/s |     7428147 |  34.38 | silesia/samba   |
| misa77 0.6.0 -1       |    171 MB/s |  16571 MB/s |     7128490 |  32.99 | silesia/samba   |
| misa77 0.6.0 -2       |    148 MB/s |  16188 MB/s |     6819991 |  31.56 | silesia/samba   |
| misa77 0.6.0 -3       |   19.5 MB/s |  15545 MB/s |     6442528 |  29.82 | silesia/samba   |
| misa77 0.6.0 -4       |   13.8 MB/s |  12496 MB/s |     5972975 |  27.64 | silesia/samba   |
| misa77 0.6.0 safe --1 |    566 MB/s |  13333 MB/s |     7829777 |  36.24 | silesia/samba   |
| misa77 0.6.0 safe -0  |    429 MB/s |  15434 MB/s |     7428147 |  34.38 | silesia/samba   |
| misa77 0.6.0 safe -1  |    171 MB/s |  16301 MB/s |     7128490 |  32.99 | silesia/samba   |
| misa77 0.6.0 safe -2  |    148 MB/s |  16018 MB/s |     6819991 |  31.56 | silesia/samba   |
| misa77 0.6.0 safe -3  |   19.2 MB/s |  15198 MB/s |     6442528 |  29.82 | silesia/samba   |
| lz4hc 1.10.0 -9       |   75.2 MB/s |   5834 MB/s |     6139489 |  28.42 | silesia/samba   |
| lz4hc 1.10.0 -12      |   17.2 MB/s |   5713 MB/s |     6095902 |  28.21 | silesia/samba   |
| snappy 1.2.2          |   1113 MB/s |   4153 MB/s |     8014394 |  37.09 | silesia/samba   |
| zxc 0.13.1 -3         |    341 MB/s |   8270 MB/s |     7476205 |  34.60 | silesia/samba   |
| zxc 0.13.1 -4         |    259 MB/s |   8255 MB/s |     7037705 |  32.57 | silesia/samba   |
| zxc 0.13.1 -5         |    168 MB/s |   8281 MB/s |     6733675 |  31.17 | silesia/samba   |
| zstd 1.5.7 -1         |    806 MB/s |   2074 MB/s |     5487600 |  25.40 | silesia/samba   |
| lzav 5.16 -1          |    913 MB/s |   5207 MB/s |     6192807 |  28.66 | silesia/samba   |
| lzav 5.16 -2          |    258 MB/s |   5790 MB/s |     5473720 |  25.33 | silesia/samba   |
| lz4 1.10.0            |   1513 MB/s |   7470 MB/s |     5533040 |  16.49 | silesia/nci     |
| misa77 0.6.0 --1      |    877 MB/s |  18396 MB/s |     6825697 |  20.34 | silesia/nci     |
| misa77 0.6.0 -0       |    704 MB/s |  16381 MB/s |     7382167 |  22.00 | silesia/nci     |
| misa77 0.6.0 -1       |    317 MB/s |  20454 MB/s |     5591111 |  16.66 | silesia/nci     |
| misa77 0.6.0 -2       |    265 MB/s |  21041 MB/s |     5447170 |  16.23 | silesia/nci     |
| misa77 0.6.0 -3       |   19.9 MB/s |  19584 MB/s |     4544639 |  13.54 | silesia/nci     |
| misa77 0.6.0 -4       |   12.1 MB/s |  17199 MB/s |     2907103 |   8.66 | silesia/nci     |
| misa77 0.6.0 safe --1 |    875 MB/s |  18237 MB/s |     6825697 |  20.34 | silesia/nci     |
| misa77 0.6.0 safe -0  |    703 MB/s |  16266 MB/s |     7382167 |  22.00 | silesia/nci     |
