| Compressor name      | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| lz4hc 1.10.0 -9      |   75.2 MB/s |   5824 MB/s |     6139489 |  28.42 | silesia/samba   |
| lz4hc 1.10.0 -12     |   17.2 MB/s |   5700 MB/s |     6095902 |  28.21 | silesia/samba   |
| snappy 1.2.2         |   1114 MB/s |   4155 MB/s |     8014394 |  37.09 | silesia/samba   |
| zxc 0.13.1 -3        |    344 MB/s |   8303 MB/s |     7476205 |  34.60 | silesia/samba   |
| zxc 0.13.1 -4        |    261 MB/s |   8280 MB/s |     7037705 |  32.57 | silesia/samba   |
| zxc 0.13.1 -5        |    169 MB/s |   8291 MB/s |     6733675 |  31.17 | silesia/samba   |
| zxc 0.13.1 -7        |   11.1 MB/s |   5516 MB/s |     5603803 |  25.94 | silesia/samba   |
| zstd 1.5.7 -1        |    807 MB/s |   2074 MB/s |     5487600 |  25.40 | silesia/samba   |
| lzav 5.11 -1         |    888 MB/s |   5193 MB/s |     6248538 |  28.92 | silesia/samba   |
| lzav 5.11 -2         |    241 MB/s |   5750 MB/s |     5494656 |  25.43 | silesia/samba   |
| lz4 1.10.0           |   1492 MB/s |   7462 MB/s |     5533040 |  16.49 | silesia/nci     |
| misa77 0.5.0 -0      |    317 MB/s |  20560 MB/s |     5591111 |  16.66 | silesia/nci     |
| misa77 0.5.0 -1      |    311 MB/s |  20151 MB/s |     5452955 |  16.25 | silesia/nci     |
| misa77 0.5.0 -2      |   12.1 MB/s |  17352 MB/s |     2907103 |   8.66 | silesia/nci     |
| misa77 0.5.0 safe -0 |    318 MB/s |  20492 MB/s |     5591111 |  16.66 | silesia/nci     |
| misa77 0.5.0 safe -1 |    311 MB/s |  19977 MB/s |     5452955 |  16.25 | silesia/nci     |
| lz4hc 1.10.0 -9      |   69.7 MB/s |   9065 MB/s |     3673771 |  10.95 | silesia/nci     |
| lz4hc 1.10.0 -12     |   25.2 MB/s |   8663 MB/s |     3617512 |  10.78 | silesia/nci     |
| snappy 1.2.2         |   1855 MB/s |   6674 MB/s |     6121795 |  18.24 | silesia/nci     |
| zxc 0.13.1 -3        |    596 MB/s |  11046 MB/s |     4837924 |  14.42 | silesia/nci     |
| zxc 0.13.1 -4        |    427 MB/s |  11375 MB/s |     4762858 |  14.19 | silesia/nci     |
